FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,Income_BP,TOTAL_INCOME_OS,Aggregate_Income,TI_special_rates,tax_TI_special_rates,GTI,TTI,pitax
289774652,0,1758201,-96000,0,164971,0,0,0,1758201,1758201,352460
301727064,0,312538,0,0,61317,0,0,0,312538,312538,22148
281628487,0,1093997,0,0,49003,0,0,0,1093997,1093997,153199
302902803,0,0,0,0,292262,0,0,0,0,0,0
314509503,0,312611,0,0,0,0,0,0,312611,312611,6261
278493843,0,596895,0,0,0,0,0,0,596895,596895,44379
282386699,0,178914,0,0,0,0,0,0,178914,178914,0
289895628,1,539758,0,0,27330,0,0,0,539758,539758,32952
290523828,0,0,0,0,1585,0,0,0,0,0,0
290305922,1,0,0,0,3650,0,0,0,0,0,0
288787709,0,3999087,0,0,586834,0,0,0,3999087,3999087,1024726
289785642,0,0,148627,0,1892,0,0,0,143627,143627,0
279422984,1,336035,0,0,115934,0,0,0,336035,336035,8604
315767377,0,2397500,0,0,1513,0,0,0,2397500,2397500,544250
310213628,0,0,0,0,13345,0,0,0,0,0,0
305504355,0,0,0,0,7436,0,0,0,0,0,0
283775483,0,947381,0,0,109227,0,0,0,947381,947381,114476
293387290,0,1091526,0,0,0,0,0,0,1091526,1091526,152458
316817700,0,352534,-17195,0,0,0,0,0,352534,352534,10253
318244658,0,0,75974,0,0,0,0,0,70974,70974,0
299069326,0,0,0,0,0,0,0,0,0,0,0
280899295,0,461851,0,0,0,0,0,0,461851,461851,21185
289450755,1,0,192500,0,51282,0,0,0,187500,187500,0
355590348,0,0,0,0,49567,0,0,0,0,0,0
338198352,0,0,0,0,1579,0,0,0,0,0,0
288089933,0,411910,0,0,0,0,0,0,411910,411910,16191
283734498,0,1260515,0,0,46865,0,0,0,1260515,1260515,203154
295357106,0,334982,0,0,0,0,0,0,334982,334982,8498
279232221,0,250000,168000,0,14839,0,0,0,413000,413000,16300
325319740,0,215231,0,0,6842,0,0,0,215231,215231,0
299855743,0,0,354005,0,389223,0,0,0,349005,349005,64880
283257865,0,679197,0,0,0,0,0,0,679197,679197,60839
286645776,0,4132291,0,0,13255,0,0,0,4132291,4132291,1064687
293044850,0,380184,0,0,0,0,0,0,380184,380184,13018
277250052,1,0,165014,0,5769648,0,0,0,160014,160014,294571
306239019,0,0,0,0,0,0,0,0,0,0,42162
325254081,0,829116,-25093,0,0,0,0,0,829116,829116,90823
289795592,0,548525,0,0,0,0,0,0,548525,548525,34705
340406478,0,1874059,0,0,73835,0,0,0,1874059,1874059,387218
269920314,0,360896,0,0,0,0,0,0,360896,360896,11090
340040726,0,0,0,0,1365,0,0,0,0,0,0
331900584,1,0,264264,0,138886,0,0,0,259264,259264,926
313396492,0,58195104,0,0,0,0,0,0,58195104,58195104,17283531
297886210,0,2410313,0,0,95099,0,0,0,2410313,2410313,548094
297313171,0,754078,0,0,90387,0,0,0,754078,754078,75816
284498241,0,1320000,0,0,0,0,0,0,1320000,1320000,221000
272495238,1,0,0,0,178028,0,0,0,0,0,0
292870482,0,976579,0,0,4500,0,0,0,976579,976579,120316
349648309,0,300000,90895,0,876916,0,0,0,385895,385895,13590
277642482,0,582389,0,0,0,0,0,0,582389,582389,41478
284237170,0,911719,-23132,0,169,0,0,0,911719,911719,107344
275213031,0,2579709,-355779,0,0,0,0,0,2579709,2579709,598913
346634461,1,1800000,0,0,1187168,0,0,0,1800000,1800000,365000
282806695,0,842609,-123209,0,0,0,0,0,842609,842609,93522
285353477,0,2868801,0,0,220545,0,0,0,2868801,2868801,685640
306396673,1,0,0,0,27923,0,0,0,0,0,0
