FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,Income_BP,TOTAL_INCOME_OS,GTI,TTI,pitax1,pitax2,pitax_diff
328228799,0,1744592,-36381,0,0,0,0,0,433366,433366
327959593,1,0,0,0,187228,0,0,0,0,0
316543975,0,639667,-108000,0,117830,0,0,0,42564,42564
342873687,0,429920,0,0,29351,0,0,0,7285,7285
334803654,0,333500,0,0,5230,0,0,0,5780,5780
280077364,0,0,0,0,248348,0,0,0,0,0
304172877,0,775402,-60128,0,0,0,0,0,60888,60888
300871989,0,0,0,0,418019,0,0,0,7580,7580
282796067,0,438576,0,0,0,0,0,0,10552,10552
287261011,0,939596,0,0,51185,0,0,0,131308,131308
299001469,0,702532,0,0,2589,0,0,0,73573,73573
321019025,0,362397,0,0,0,0,0,0,7254,7254
337635044,0,438927,-137601,0,0,0,0,0,55,55
294004415,0,262080,-45000,0,24845,0,0,0,0,0
325770672,0,0,84000,0,157782,0,0,0,0,0
284730712,0,0,0,0,485686,0,0,0,8373,8373
329352035,1,0,0,0,467782,0,0,0,16841,16841
275635940,0,414320,0,0,19506,0,0,0,1657,1657
275246191,0,0,0,0,240150,0,0,0,0,0
269765558,0,501062,0,0,3906,0,0,0,10379,10379
277438908,0,900437,0,0,0,0,0,0,101920,101920
276728264,0,1828537,0,0,35301,0,0,0,492847,492847
339647341,1,1067383,0,0,0,0,0,0,194600,194600
307107911,1,2222516,0,0,0,0,0,0,640636,640636
324860894,0,1116610,0,0,54000,0,0,0,237167,237167
275638313,0,830203,-92863,0,0,0,0,0,67871,67871
293505098,0,660956,-111772,0,0,0,0,0,16891,16891
327892511,0,115000,0,0,192056,0,0,0,0,0
282865021,0,1656256,0,0,0,0,0,0,410902,410902
337125160,0,120000,0,0,9175,0,0,0,0,0
282416815,0,851676,-200000,0,37708,0,0,0,48126,48126
294386811,0,281048,0,0,0,0,0,0,0,0
338763539,0,279600,0,0,1930,0,0,0,0,0
292525061,0,514812,0,0,0,0,0,0,7702,7702
299762613,1,0,0,0,457700,0,0,0,13548,13548
284028226,0,666547,-3252,0,0,0,0,0,43189,43189
286102193,0,1093565,0,0,0,0,0,0,167662,167662
336923804,0,0,343637,0,12231,0,0,0,7380,7380
280370173,0,980000,0,0,23578,0,0,0,152631,152631
279150712,0,582960,-116382,0,35056,0,0,0,13285,13285
297167180,0,548119,0,0,2737,0,0,0,22191,22191
289946658,0,613998,0,0,0,0,0,0,37969,37969
287203528,0,0,97649,0,89204,0,0,0,0,0
295361756,0,362171,-77997,0,15807,0,0,0,0,0
289425755,0,1008933,0,0,0,0,0,0,120912,120912
291911510,0,2647647,-110993,0,0,0,0,0,777314,777314
311299463,0,1091230,0,0,1338,0,0,0,215293,215293
335481524,0,857876,-200000,0,0,0,0,0,49190,49190
275655816,0,661693,0,0,0,0,0,0,42777,42777
294745576,0,414074,0,0,0,0,0,0,10690,10690
299657417,0,534563,0,0,0,0,0,0,13535,13535
282550473,0,1516464,0,0,0,0,0,0,333837,333837
270633160,0,702421,0,0,10670,0,0,0,54886,54886
301295907,0,1130473,0,0,0,0,0,0,193145,193145
278611498,1,313283,0,0,141600,0,0,0,6809,6809
273666011,0,581618,-110000,0,0,0,0,0,9625,9625
293210231,0,504000,0,0,2645,0,0,0,10649,10649
298524863,0,285600,-94464,0,111922,0,0,0,5788,5788
278347107,0,0,63000,0,168033,0,0,0,0,0
296262768,0,464645,0,0,14093,0,0,0,7367,7367
274569558,0,840185,-200000,0,0,0,0,0,46192,46192
318127905,0,647702,0,0,3777,0,0,0,54187,54187
275723717,0,0,0,0,234006,0,0,0,0,0
277335260,0,339098,0,0,0,0,0,0,6702,6702
337445502,0,260000,0,0,10000,0,0,0,0,0
296138386,0,942487,-167634,0,0,0,0,0,77616,77616
283245617,0,658407,-120560,0,1194,0,0,0,22742,22742
321473981,0,0,0,0,315302,0,0,0,1501,1501
331154267,0,570420,0,0,2746,0,0,0,19578,19578
288103073,0,731378,0,0,79247,0,0,0,70035,70035
276201680,0,371819,0,0,16143,0,0,0,0,0
324598472,0,913864,-143805,0,0,0,0,0,78295,78295
299653855,0,461691,0,0,0,0,0,0,12651,12651
296119670,0,1502035,-200000,0,0,0,0,0,245765,245765
321259321,0,313800,0,0,36391,0,0,0,6054,6054
279713871,0,362160,-141144,0,2536,0,0,0,0,0
268711886,0,620209,0,0,0,0,0,0,11857,11857
290039096,0,1077515,-139754,0,0,0,0,0,124101,124101
323010840,0,307315,0,0,0,0,0,0,1648,1648
332296115,0,360000,0,0,0,0,0,0,0,0
325459942,0,0,295680,0,149680,0,0,0,8835,8835
321218741,0,479508,-72000,0,0,0,0,0,11794,11794
277724146,0,378268,0,0,269,0,0,0,6479,6479
286493529,0,927146,0,0,0,0,0,0,103450,103450
332443612,0,2142620,0,0,0,0,0,0,610678,610678
295670623,0,958829,0,0,289471,0,0,0,264225,264225
270103464,1,294998,0,0,181037,0,0,0,21709,21709
289343539,1,1255034,-9999,0,44776,0,0,0,246766,246766
283592728,0,1503621,-200000,0,0,0,0,0,263524,263524
288789742,0,1155397,-200000,0,0,0,0,0,131643,131643
273864920,0,754322,-200000,0,8046,0,0,0,7823,7823
283806038,0,141413,0,0,76681,0,0,0,0,0
313038308,0,0,0,0,214272,0,0,0,0,0
339842898,0,0,0,0,297440,0,0,0,993,993
306342915,0,160000,0,0,83575,0,0,0,0,0
288007816,0,1897212,-200000,0,9165,0,0,0,436769,436769
341159167,1,1325970,0,0,0,0,0,0,272376,272376
314983093,1,884567,-97255,0,587253,0,0,0,280478,280478
298115074,0,0,0,0,220690,0,0,0,0,0
292313559,0,210000,0,0,290979,0,0,0,29273,29273
266092444,1,0,0,0,0,0,0,0,290404,290404
266128710,0,0,184800,0,132347,0,0,0,30785,30785
266137755,0,369600,0,0,38471,0,0,0,242775,242775
266483488,0,0,0,0,0,0,0,0,684,684
266547453,0,114500,0,0,0,0,0,0,9503,9503
266582727,0,0,0,0,0,0,0,0,11512,11512
266588057,0,0,0,0,0,0,0,0,2150,2150
266601810,1,0,0,0,353,0,0,0,10835,10835
266729149,0,0,0,0,6411,0,0,0,10400,10400
266772587,0,120198,0,0,15239,0,0,0,6612,6612
266820778,0,0,0,0,0,0,0,0,6833,6833
266831688,0,0,0,0,0,0,0,0,7175,7175
266901543,0,0,0,0,11002,0,0,0,20220,20220
266915154,0,0,0,0,460,0,0,0,1108,1108
266915653,0,0,0,0,3247,0,0,0,13626,13626
266922880,0,0,0,0,591,0,0,0,0,0
266933342,0,0,0,0,1634,0,0,0,6121,6121
266979403,1,0,15120,0,103050,0,0,0,7177,7177
267004387,0,366679,0,0,33462,0,0,0,10793,10793
267028054,0,0,0,0,246917,0,0,0,39496,39496
267047825,0,0,0,0,0,0,0,0,6212,6212
267054829,0,0,0,0,0,0,0,0,8123,8123
267087135,0,0,286881,0,35690,0,0,0,7464,7464
267093088,0,0,0,0,755,0,0,0,0,0
267118541,0,0,0,0,0,0,0,0,12985,12985
267120107,0,0,0,0,73116,0,0,0,5732,5732
267139296,0,0,0,0,562,0,0,0,6641,6641
267151676,0,0,0,0,0,0,0,0,10763,10763
267202612,0,0,0,0,0,0,0,0,10579,10579
267215643,0,0,0,0,0,0,0,0,7093,7093
267227192,0,0,0,0,0,0,0,0,0,0
267236208,0,0,0,0,15253,0,0,0,22577,22577
267242084,0,0,0,0,31123,0,0,0,7461,7461
267264368,0,0,22124,0,64962,0,0,0,0,0
267270886,0,0,381003,0,0,0,0,0,49543,49543
