            weight                GTI                TTI  TI_special_rates  tax_TI_special_rates   Aggregate_Income  tax_Aggregate_Income           tax_TTI         rebate  surcharge           cess             pitax
<0               0                  0                  0                 0                     0                  0                     0                 0              0          0              0                 0
=0               0                  0                  0                 0                     0                  0                     0                 0              0          0              0                 0
0-5L    17,456,283  6,083,104,815,120  5,446,687,671,306                 0                     0  5,446,687,671,306        66,399,205,071    66,399,205,071 16,738,274,646          0  1,489,827,913    51,150,758,338
5-10L   15,256,541 10,610,856,384,333  8,591,224,433,701    35,565,491,803         6,792,848,708  8,555,658,941,897       435,532,022,931   442,324,871,639    368,414,720          0 13,258,693,708   455,215,150,627
10-15L   5,227,653  6,431,161,888,740  5,705,979,273,412     4,417,443,014           715,473,438  5,701,561,830,399       740,658,351,162   741,373,824,601              0          0 22,241,214,738   763,615,039,339
15-20L   2,563,882  4,272,098,146,042  3,814,812,637,075    26,384,806,457         3,957,720,969  3,788,427,830,618       653,128,604,231   657,086,325,199              0          0 19,712,589,756   676,798,914,955
20-30L   1,816,307  4,223,828,761,268  3,948,101,063,402   222,238,280,878        44,447,656,176  3,725,862,782,524       795,647,648,021   840,095,304,196    162,405,220          0 25,197,986,969   865,130,885,946
30-40L     321,157    979,496,618,465    931,323,086,300                 0                     0    931,323,086,300       219,180,010,684   219,180,010,684              0          0  6,575,400,321   225,755,411,004
40-50L           0                  0                  0                 0                     0                  0                     0                 0              0          0              0                 0
50-100L          0                  0                  0                 0                     0                  0                     0                 0              0          0              0                 0
>100L            0                  0                  0                 0                     0                  0                     0                 0              0          0              0                 0
ALL     42,641,823 32,600,546,613,967 28,438,128,165,196   288,606,022,152        55,913,699,290 28,149,522,143,045     2,910,545,842,100 2,966,459,541,390 17,269,094,585          0 88,475,713,404 3,037,666,160,209
