            weight                GTI                TTI  TI_special_rates  tax_TI_special_rates   Aggregate_Income  tax_Aggregate_Income           tax_TTI      rebate  surcharge            cess             pitax
<0               0                  0                  0                 0                     0                  0                     0                 0           0          0               0                 0
=0               0                  0                  0                 0                     0                  0                     0                 0           0          0               0                 0
0-5L    17,456,283  6,083,104,815,120  5,446,687,671,306                 0                     0  5,446,687,671,306                     0                 0           0          0               0                 0
5-10L   15,256,541 10,610,856,384,333  8,591,224,433,701    35,565,491,803         6,792,848,708  8,555,658,941,897       269,942,482,820   276,735,331,527 368,414,720          0  11,054,676,672   287,421,593,480
10-15L   5,227,653  6,431,161,888,740  5,705,979,273,412     4,417,443,014           715,473,438  5,701,561,830,399       676,641,888,366   677,357,361,805           0          0  27,094,294,472   704,451,656,277
15-20L   2,563,882  4,272,098,146,042  3,814,812,637,075    26,384,806,457         3,957,720,969  3,788,427,830,618       623,751,906,545   627,709,627,514           0          0  25,108,385,101   652,818,012,614
20-30L   1,816,307  4,223,828,761,268  3,948,101,063,402   222,238,280,878        44,447,656,176  3,725,862,782,524       775,062,468,298   819,510,124,474 162,405,220          0  32,773,908,770   852,121,628,024
30-40L     321,157    979,496,618,465    931,323,086,300                 0                     0    931,323,086,300       215,165,549,670   215,165,549,670           0          0   8,606,621,987   223,772,171,657
40-50L           0                  0                  0                 0                     0                  0                     0                 0           0          0               0                 0
50-100L          0                  0                  0                 0                     0                  0                     0                 0           0          0               0                 0
>100L            0                  0                  0                 0                     0                  0                     0                 0           0          0               0                 0
ALL     42,641,823 32,600,546,613,967 28,438,128,165,196   288,606,022,152        55,913,699,290 28,149,522,143,045     2,560,564,295,700 2,616,477,994,990 530,819,939          0 104,637,887,002 2,720,585,062,052
