Income_Bracket,weight_avg_clp_2019,GTI_avg_clp_2019,TTI_avg_clp_2019,TI_special_rates_avg_clp_2019,tax_TI_special_rates_avg_clp_2019,Aggregate_Income_avg_clp_2019,tax_Aggregate_Income_avg_clp_2019,tax_TTI_avg_clp_2019,rebate_avg_clp_2019,surcharge_avg_clp_2019,cess_avg_clp_2019,pitax_avg_clp_2019,weight_total_clp_2019,GTI_total_clp_2019,TTI_total_clp_2019,TI_special_rates_total_clp_2019,tax_TI_special_rates_total_clp_2019,Aggregate_Income_total_clp_2019,tax_Aggregate_Income_total_clp_2019,tax_TTI_total_clp_2019,rebate_total_clp_2019,surcharge_total_clp_2019,cess_total_clp_2019,pitax_total_clp_2019,weight_avg_ref_2019,GTI_avg_ref_2019,TTI_avg_ref_2019,TI_special_rates_avg_ref_2019,tax_TI_special_rates_avg_ref_2019,Aggregate_Income_avg_ref_2019,tax_Aggregate_Income_avg_ref_2019,tax_TTI_avg_ref_2019,rebate_avg_ref_2019,surcharge_avg_ref_2019,cess_avg_ref_2019,pitax_avg_ref_2019,pitax_diff_avg_ref_2019,weight_total_ref_2019,GTI_total_ref_2019,TTI_total_ref_2019,TI_special_rates_total_ref_2019,tax_TI_special_rates_total_ref_2019,Aggregate_Income_total_ref_2019,tax_Aggregate_Income_total_ref_2019,tax_TTI_total_ref_2019,rebate_total_ref_2019,surcharge_total_ref_2019,cess_total_ref_2019,pitax_total_ref_2019,pitax_diff_total_ref_2019,weight_avg_clp_2020,GTI_avg_clp_2020,TTI_avg_clp_2020,TI_special_rates_avg_clp_2020,tax_TI_special_rates_avg_clp_2020,Aggregate_Income_avg_clp_2020,tax_Aggregate_Income_avg_clp_2020,tax_TTI_avg_clp_2020,rebate_avg_clp_2020,surcharge_avg_clp_2020,cess_avg_clp_2020,pitax_avg_clp_2020,weight_total_clp_2020,GTI_total_clp_2020,TTI_total_clp_2020,TI_special_rates_total_clp_2020,tax_TI_special_rates_total_clp_2020,Aggregate_Income_total_clp_2020,tax_Aggregate_Income_total_clp_2020,tax_TTI_total_clp_2020,rebate_total_clp_2020,surcharge_total_clp_2020,cess_total_clp_2020,pitax_total_clp_2020,weight_avg_ref_2020,GTI_avg_ref_2020,TTI_avg_ref_2020,TI_special_rates_avg_ref_2020,tax_TI_special_rates_avg_ref_2020,Aggregate_Income_avg_ref_2020,tax_Aggregate_Income_avg_ref_2020,tax_TTI_avg_ref_2020,rebate_avg_ref_2020,surcharge_avg_ref_2020,cess_avg_ref_2020,pitax_avg_ref_2020,pitax_diff_avg_ref_2020,weight_total_ref_2020,GTI_total_ref_2020,TTI_total_ref_2020,TI_special_rates_total_ref_2020,tax_TI_special_rates_total_ref_2020,Aggregate_Income_total_ref_2020,tax_Aggregate_Income_total_ref_2020,tax_TTI_total_ref_2020,rebate_total_ref_2020,surcharge_total_ref_2020,cess_total_ref_2020,pitax_total_ref_2020,pitax_diff_total_ref_2020,weight_avg_clp_2021,GTI_avg_clp_2021,TTI_avg_clp_2021,TI_special_rates_avg_clp_2021,tax_TI_special_rates_avg_clp_2021,Aggregate_Income_avg_clp_2021,tax_Aggregate_Income_avg_clp_2021,tax_TTI_avg_clp_2021,rebate_avg_clp_2021,surcharge_avg_clp_2021,cess_avg_clp_2021,pitax_avg_clp_2021,weight_total_clp_2021,GTI_total_clp_2021,TTI_total_clp_2021,TI_special_rates_total_clp_2021,tax_TI_special_rates_total_clp_2021,Aggregate_Income_total_clp_2021,tax_Aggregate_Income_total_clp_2021,tax_TTI_total_clp_2021,rebate_total_clp_2021,surcharge_total_clp_2021,cess_total_clp_2021,pitax_total_clp_2021,weight_avg_ref_2021,GTI_avg_ref_2021,TTI_avg_ref_2021,TI_special_rates_avg_ref_2021,tax_TI_special_rates_avg_ref_2021,Aggregate_Income_avg_ref_2021,tax_Aggregate_Income_avg_ref_2021,tax_TTI_avg_ref_2021,rebate_avg_ref_2021,surcharge_avg_ref_2021,cess_avg_ref_2021,pitax_avg_ref_2021,pitax_diff_avg_ref_2021,weight_total_ref_2021,GTI_total_ref_2021,TTI_total_ref_2021,TI_special_rates_total_ref_2021,tax_TI_special_rates_total_ref_2021,Aggregate_Income_total_ref_2021,tax_Aggregate_Income_total_ref_2021,tax_TTI_total_ref_2021,rebate_total_ref_2021,surcharge_total_ref_2021,cess_total_ref_2021,pitax_total_ref_2021,pitax_diff_total_ref_2021,weight_avg_clp_2022,GTI_avg_clp_2022,TTI_avg_clp_2022,TI_special_rates_avg_clp_2022,tax_TI_special_rates_avg_clp_2022,Aggregate_Income_avg_clp_2022,tax_Aggregate_Income_avg_clp_2022,tax_TTI_avg_clp_2022,rebate_avg_clp_2022,surcharge_avg_clp_2022,cess_avg_clp_2022,pitax_avg_clp_2022,weight_total_clp_2022,GTI_total_clp_2022,TTI_total_clp_2022,TI_special_rates_total_clp_2022,tax_TI_special_rates_total_clp_2022,Aggregate_Income_total_clp_2022,tax_Aggregate_Income_total_clp_2022,tax_TTI_total_clp_2022,rebate_total_clp_2022,surcharge_total_clp_2022,cess_total_clp_2022,pitax_total_clp_2022,weight_avg_ref_2022,GTI_avg_ref_2022,TTI_avg_ref_2022,TI_special_rates_avg_ref_2022,tax_TI_special_rates_avg_ref_2022,Aggregate_Income_avg_ref_2022,tax_Aggregate_Income_avg_ref_2022,tax_TTI_avg_ref_2022,rebate_avg_ref_2022,surcharge_avg_ref_2022,cess_avg_ref_2022,pitax_avg_ref_2022,pitax_diff_avg_ref_2022,weight_total_ref_2022,GTI_total_ref_2022,TTI_total_ref_2022,TI_special_rates_total_ref_2022,tax_TI_special_rates_total_ref_2022,Aggregate_Income_total_ref_2022,tax_Aggregate_Income_total_ref_2022,tax_TTI_total_ref_2022,rebate_total_ref_2022,surcharge_total_ref_2022,cess_total_ref_2022,pitax_total_ref_2022,pitax_diff_total_ref_2022,weight_avg_clp_2023,GTI_avg_clp_2023,TTI_avg_clp_2023,TI_special_rates_avg_clp_2023,tax_TI_special_rates_avg_clp_2023,Aggregate_Income_avg_clp_2023,tax_Aggregate_Income_avg_clp_2023,tax_TTI_avg_clp_2023,rebate_avg_clp_2023,surcharge_avg_clp_2023,cess_avg_clp_2023,pitax_avg_clp_2023,weight_total_clp_2023,GTI_total_clp_2023,TTI_total_clp_2023,TI_special_rates_total_clp_2023,tax_TI_special_rates_total_clp_2023,Aggregate_Income_total_clp_2023,tax_Aggregate_Income_total_clp_2023,tax_TTI_total_clp_2023,rebate_total_clp_2023,surcharge_total_clp_2023,cess_total_clp_2023,pitax_total_clp_2023,weight_avg_ref_2023,GTI_avg_ref_2023,TTI_avg_ref_2023,TI_special_rates_avg_ref_2023,tax_TI_special_rates_avg_ref_2023,Aggregate_Income_avg_ref_2023,tax_Aggregate_Income_avg_ref_2023,tax_TTI_avg_ref_2023,rebate_avg_ref_2023,surcharge_avg_ref_2023,cess_avg_ref_2023,pitax_avg_ref_2023,pitax_diff_avg_ref_2023,weight_total_ref_2023,GTI_total_ref_2023,TTI_total_ref_2023,TI_special_rates_total_ref_2023,tax_TI_special_rates_total_ref_2023,Aggregate_Income_total_ref_2023,tax_Aggregate_Income_total_ref_2023,tax_TTI_total_ref_2023,rebate_total_ref_2023,surcharge_total_ref_2023,cess_total_ref_2023,pitax_total_ref_2023,pitax_diff_total_ref_2023
<0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-5L,176,344491,307871,0,0,307871,4332,3834,813,0,121,3142,176,604980,540670,0,0,540670,7607,6733,1428,0,212,5517,176,344491,307871,0,0,307871,4332,3834,813,0,121,3142,0,176,604980,540670,0,0,540670,7607,6733,1428,0,212,5517,0,171,355747,323372,0,0,323372,4966,4511,761,0,150,3900,171,608117,552776,0,0,552776,8489,7712,1301,0,256,6668,171,351546,319171,0,0,319171,4795,4341,4302,0,2,40,-3860,171,600936,545595,0,0,545595,8197,7420,7354,0,3,68,-6600,161,364708,340783,0,0,340783,6010,5479,566,0,197,5110,161,587282,548756,0,0,548756,9677,8823,911,0,316,8228,161,360767,336843,0,0,336843,5849,5318,5125,0,8,201,-4909,161,580937,542411,0,0,542411,9418,8564,8253,0,12,323,-7905,146,370620,348383,0,0,348383,6464,5873,587,0,211,5498,146,541188,508717,0,0,508717,9439,8576,857,0,309,8028,146,367011,344774,0,0,344774,6328,5737,5482,0,10,265,-5233,146,535918,503447,0,0,503447,9240,8377,8004,0,15,388,-7641,130,372538,348319,0,0,348319,6964,6265,703,0,222,5785,130,482682,451302,0,0,451302,9023,8118,911,0,288,7495,130,369272,345052,0,0,345052,6819,6120,5669,0,18,470,-5315,130,478450,447070,0,0,447070,8835,7930,7345,0,23,608,-6887
5-10L,153,687480,554505,2331,445,552174,27421,27848,53,0,1112,28907,153,1048856,845983,3557,679,842426,41836,42486,80,0,1696,44102,153,687480,554505,2331,445,552174,27421,27848,53,0,1112,28907,0,153,1048856,845983,3557,679,842426,41836,42486,80,0,1696,44102,0,176,701936,579877,2445,467,577432,30884,31228,0,0,1249,32477,176,1235311,1020503,4303,822,1016200,54352,54957,0,0,2198,57156,176,694914,572855,2445,467,570409,29848,30192,3816,0,1055,27431,-5046,176,1222952,1008145,4303,822,1003841,52528,53134,6716,0,1857,48275,-8881,202,712166,598215,2571,491,595643,33867,34240,0,0,1370,35610,202,1442139,1211387,5207,995,1206180,68580,69337,0,0,2773,72111,202,705453,591501,2571,491,588930,32747,33120,2699,0,1217,31638,-3972,202,1428545,1197793,5207,995,1192585,66312,67069,5465,0,2464,64068,-8043,220,701027,601778,2679,519,599100,33604,33987,0,0,1359,35346,220,1540394,1322311,5886,1141,1316425,73840,74680,0,0,2987,77668,220,694805,595556,2679,519,592878,32563,32946,2737,0,1208,31417,-3929,220,1526722,1308639,5886,1141,1302753,71552,72393,6015,0,2655,69033,-8635,251,712815,631689,347,52,631342,39244,39147,0,0,1566,40712,251,1788837,1585249,871,131,1584378,98484,98240,0,0,3930,102170,251,706761,625635,347,52,625288,38121,38023,1146,0,1475,38353,-2359,251,1773644,1570057,871,131,1569185,95665,95421,2875,0,3702,96248,-5921
10-15L,53,1235708,1096484,5776,876,1090708,141735,142611,0,0,5704,148316,53,658993,584746,3080,467,581665,75586,76053,0,0,3042,79096,53,1235708,1096484,5776,876,1090708,141735,142611,0,0,5704,148316,0,53,658993,584746,3080,467,581665,75586,76053,0,0,3042,79096,0,62,1247182,1092930,859,139,1092071,142940,143079,0,0,5723,148802,62,775682,679746,535,87,679211,88901,88988,0,0,3560,92547,62,1238857,1084606,859,139,1083746,140726,140866,0,0,5635,146500,-2302,62,770505,674568,535,87,674034,87524,87611,0,0,3504,91115,-1432,70,1236589,1073319,928,150,1072391,137829,137979,0,0,5519,143499,70,861753,747974,647,105,747327,96050,96155,0,0,3846,100001,70,1228417,1065146,928,150,1064218,135768,135918,0,0,5437,141355,-2144,70,856058,742278,647,105,741632,94614,94718,0,0,3789,98507,-1494,85,1173876,1022466,1405,222,1021061,123139,123317,0,0,4933,128249,85,1000212,871202,1197,189,870005,104922,105073,0,0,4203,109276,85,1165849,1014439,1405,222,1013034,121183,121360,0,0,4854,126214,-2035,85,993373,864362,1197,189,863165,103255,103406,0,0,4136,107542,-1734,102,1199405,1043301,6875,1350,1036426,127847,129156,0,0,5166,134322,102,1217526,1059063,6979,1371,1052084,129778,131107,0,0,5244,136352,102,1191531,1035426,6875,1350,1028551,125762,127072,0,0,5083,132154,-2168,102,1209533,1051070,6979,1371,1044091,127662,128991,0,0,5160,134151,-2201
15-20L,25,1667596,1490135,83101,16620,1419727,245359,261979,0,0,10479,272458,25,409999,366368,20431,4086,349057,60324,64411,0,0,2576,66987,25,1667596,1490135,83101,16620,1419727,245359,261979,0,0,10479,272458,0,25,409999,366368,20431,4086,349057,60324,64411,0,0,2576,66987,0,34,1714404,1561154,81979,15927,1488969,264703,280630,0,0,11225,291855,34,583775,531591,27915,5423,507011,90135,95558,0,0,3822,99380,34,1705424,1552174,81979,15927,1479989,262009,277936,0,0,11117,289054,-2801,34,580717,528534,27915,5423,503954,89217,94641,0,0,3786,98426,-954,48,1730791,1594446,8075,1211,1586372,287599,288810,0,0,11552,300363,48,828021,762793,3863,579,758930,137589,138169,0,0,5527,143695,48,1721323,1584979,8075,1211,1576904,284759,285970,0,0,11439,297409,-2954,48,823492,758264,3863,579,754401,136230,136810,0,0,5472,142282,-1413,57,1677123,1545356,8225,1234,1537131,273451,274685,0,0,10987,285672,57,953072,878192,4674,701,873517,155396,156097,0,0,6244,162341,57,1667863,1536096,8225,1234,1527870,270673,271907,0,0,10876,282783,-2889,57,947810,872929,4674,701,868255,153818,154519,0,0,6181,160699,-1642,67,1744719,1600111,1072,161,1599039,291979,292140,0,0,11686,303826,67,1172671,1075476,720,108,1074756,196247,196355,0,0,7854,204209,67,1735866,1591257,1072,161,1590185,289323,289484,0,0,11579,301064,-2762,67,1166721,1069525,720,108,1068805,194462,194570,0,0,7783,202353,-1857
20-30L,17,2330332,2176257,10475,2095,2165782,461765,463860,0,0,18554,482415,17,398730,372368,1792,358,370575,79010,79369,0,0,3175,82543,17,2330332,2176257,10475,2095,2165782,461765,463860,0,0,18554,482415,0,17,398730,372368,1792,358,370575,79010,79369,0,0,3175,82543,0,21,2463034,2310046,0,0,2310046,505097,505097,0,0,20204,525301,21,522073,489646,0,0,489646,107062,107062,0,0,4282,111345,21,2453034,2300046,0,0,2300046,502097,502097,0,0,20084,522181,-3120,21,519954,487526,0,0,487526,106426,106426,0,0,4257,110683,-661,22,2386844,2223846,136112,27222,2103901,454392,481614,0,0,19265,500879,22,524564,488742,29914,5983,462381,99863,105846,0,0,4234,110080,22,2378003,2215005,136112,27222,2095060,451740,478962,0,0,19158,498120,-2759,22,522621,486799,29914,5983,460438,99280,105263,0,0,4211,109473,-606,46,2361389,2189978,79467,15893,2118796,453125,469019,0,0,18761,487780,46,1075567,997492,36196,7239,965070,206390,213629,0,0,8545,222174,46,2352005,2180593,79467,15893,2109411,450310,466203,0,0,18648,484852,-2928,46,1071292,993217,36196,7239,960795,205107,212347,0,0,8494,220840,-1334,50,2400867,2240432,98857,19206,2149557,462362,481568,0,0,19263,500831,50,1201014,1120757,49453,9608,1075298,231293,240900,0,0,9636,250536,50,2391792,2231356,98857,19206,2140482,459639,478845,0,0,19154,497999,-2832,50,1196474,1116217,49453,9608,1070758,229931,239538,0,0,9582,249120,-1417
30-40L,3,3039901,2889901,0,0,2889901,679470,679470,0,0,27179,706649,3,97629,92811,0,0,92811,21822,21822,0,0,873,22695,3,3039901,2889901,0,0,2889901,679470,679470,0,0,27179,706649,0,3,97629,92811,0,0,92811,21822,21822,0,0,873,22695,0,5,3253970,3101123,46236,9247,3054888,728966,738213,0,0,29529,767742,5,152631,145461,2169,434,143293,34193,34627,0,0,1385,36012,5,3243970,3091123,46236,9247,3044888,725966,735213,0,0,29409,764622,-3120,5,152162,144992,2169,434,142824,34052,34486,0,0,1379,35865,-146,13,3297664,3146528,20293,4059,3126235,749619,753678,0,0,30147,783825,13,426443,406898,2624,525,404274,96938,97463,0,0,3899,101362,13,3287664,3136528,20293,4059,3116235,746619,750678,0,0,30027,780705,-3120,13,425149,405605,2624,525,402981,96550,97075,0,0,3883,100958,-403,10,3443393,3291769,31911,6382,3259858,789383,795766,0,0,31831,827596,10,342625,327538,3175,635,324363,78545,79180,0,0,3167,82348,10,3433393,3281769,31911,6382,3249858,786383,792766,0,0,31711,824476,-3120,10,341630,326543,3175,635,323368,78247,78882,0,0,3155,82037,-310,19,3412445,3258288,0,0,3258288,789361,789361,0,0,31574,820936,19,641821,612826,0,0,612826,148465,148465,0,0,5939,154404,19,3402445,3248288,0,0,3248288,786361,786361,0,0,31454,817816,-3120,19,639940,610946,0,0,610946,147901,147901,0,0,5916,153817,-587
40-50L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4007206,3857206,0,0,3857206,969662,969662,0,0,38786,1008448,4,171292,164880,0,0,164880,41449,41449,0,0,1658,43107,4,3997206,3847206,0,0,3847206,966662,966662,0,0,38666,1005328,-3120,4,170865,164453,0,0,164453,41321,41321,0,0,1653,42974,-133,6,4298511,4145664,61540,12308,4084124,1037737,1050045,0,0,42002,1092047,6,268364,258822,3842,768,254980,64788,65556,0,0,2622,68179,6,4288511,4135664,61540,12308,4074124,1034737,1047045,0,0,41882,1088927,-3120,6,267740,258197,3842,768,254355,64601,65369,0,0,2615,67984,-195
50-100L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
