            weight                GTI                TTI             pitax
<0               0                  0                  0                 0
=0               0                  0                  0                 0
0-5L    17,456,283  6,083,104,815,120  5,446,687,671,306    51,150,758,338
5-10L   15,256,541 10,610,856,384,333  8,591,224,433,701   455,215,150,627
10-15L   5,227,653  6,431,161,888,740  5,705,979,273,412   763,615,039,339
15-20L   2,563,882  4,272,098,146,042  3,814,812,637,075   676,798,914,955
20-30L   1,816,307  4,223,828,761,268  3,948,101,063,402   865,130,885,946
30-40L     321,157    979,496,618,465    931,323,086,300   225,755,411,004
40-50L           0                  0                  0                 0
50-100L          0                  0                  0                 0
>100L            0                  0                  0                 0
ALL     42,641,823 32,600,546,613,967 28,438,128,165,196 3,037,666,160,209
