            weight                GTI                TTI             pitax
<0               0                  0                  0                 0
=0               0                  0                  0                 0
0-5L    17,456,283  6,083,104,815,120  5,446,687,671,306                 0
5-10L   15,256,541 10,610,856,384,333  8,591,224,433,701   287,421,593,480
10-15L   5,227,653  6,431,161,888,740  5,705,979,273,412   704,451,656,277
15-20L   2,563,882  4,272,098,146,042  3,814,812,637,075   652,818,012,614
20-30L   1,816,307  4,223,828,761,268  3,948,101,063,402   852,121,628,024
30-40L     321,157    979,496,618,465    931,323,086,300   223,772,171,657
40-50L           0                  0                  0                 0
50-100L          0                  0                  0                 0
>100L            0                  0                  0                 0
ALL     42,641,823 32,600,546,613,967 28,438,128,165,196 2,720,585,062,052
